PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,san jose ca,,,,,,,,,
Location:,"SAN FRANCISCO, CA",,,,,,,,,
Lat (deg N):,37.62,,,,,,,,,
Long (deg W):,122.38,,,,,,,,,
Elev (m):,5,,,,,,,,,
DC System Size (kW):,200,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,37.3,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.14,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,15,4,0,0,5.6,1,0,5.6,0,0
1,15,5,0,0,6.1,0,0,6.1,0,0
1,15,6,0,0,5.6,1,0,5.6,0,0
1,15,7,12,16,6.1,0,19.321,2.725,3561.135,2382.875
1,15,8,246,60,10,2.1,215.689,13.947,37843.578,35927.805
1,15,9,485,94,11.7,2.1,470.155,23.118,80770.578,77648.914
1,15,10,606,118,12.8,1.5,679.152,32.11,112615.07,108395.953
1,15,11,657,132,13.9,2.6,796.935,33.77,131324.969,126380.461
1,15,12,673,135,15.6,2.1,830,37.875,134057.219,129001.789
1,15,13,644,128,16.7,2.1,764.166,37.392,123641.258,119001.867
1,15,14,572,110,17.2,2.1,613.652,33.91,100695.305,96907.219
1,15,15,418,81,17.8,9.3,380.451,22.51,65164.703,62517.762
1,15,16,129,41,16.7,6.7,114.165,17.921,19459.566,17964.189
1,15,17,0,2,14.4,6.2,1.795,13.385,325.68,0
1,15,18,0,0,15,5.2,0,15,0,0
1,15,19,0,0,15,5.2,0,15,0,0
1,15,20,0,0,13.3,9.3,0,13.3,0,0
1,15,21,0,0,13.3,8.2,0,13.3,0,0
1,15,22,0,0,13.3,3.6,0,13.3,0,0
1,15,23,0,0,11.7,5.2,0,11.7,0,0
1,16,0,0,0,10,3.6,0,10,0,0
1,16,1,0,0,10,2.1,0,10,0,0
