PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,phoenix az,,,,,,,,,
Location:,"PHOENIX, AZ",,,,,,,,,
Lat (deg N):,33.43,,,,,,,,,
Long (deg W):,112.02,,,,,,,,,
Elev (m):,339,,,,,,,,,
DC System Size (kW):,250,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,33.4,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.1,,,,,,,,,
Capacity Factor (%),"20.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,14,20,0,0,13.9,2.1,0,13.9,0,0
1,14,21,0,0,12.8,2.1,0,12.8,0,0
1,14,22,0,0,11.7,0,0,11.7,0,0
1,14,23,0,0,10.6,1.5,0,10.6,0,0
1,15,0,0,0,10.6,2.1,0,10.6,0,0
1,15,1,0,0,10,2.1,0,10,0,0
1,15,2,0,0,9.4,1.5,0,9.4,0,0
1,15,3,0,0,8.3,3.1,0,8.3,0,0
1,15,4,0,0,10,3.1,0,10,0,0
1,15,5,0,0,10,3.1,0,10,0,0
1,15,6,0,0,9.4,2.1,0,9.4,0,0
1,15,7,1,7,10,3.1,6.71,8.573,1541.275,121.975
1,15,8,2,70,9.4,2.1,72.583,9.351,16737.291,15025.761
1,15,9,13,171,11.7,4.1,185.117,14.349,41753.449,39492.266
1,15,10,35,255,12.8,3.1,290.93,18.578,64405.152,61572.664
1,15,11,22,295,14.4,3.1,320.862,21.163,70223.531,67233
1,15,12,2,281,16.1,2.6,283.102,22.422,61604.047,58845.996
1,15,13,0,228,16.7,3.1,222.465,21.112,48704.039,46274.988
1,15,14,0,203,16.7,0,198.966,24.557,42866.621,40578.996
1,15,15,0,152,17.2,2.1,149.637,20.037,32922.418,30865.01
1,15,16,13,73,16.7,2.1,76.973,17.396,17060.164,15342.082
1,15,17,0,5,16.1,1.5,4.424,14.401,998.493,0
1,15,18,0,0,15,1.5,0,15,0,0
