Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/09  24:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/10  01:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/10  02:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102964696,0,1.102964696,
 01/10  03:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/10  04:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102966915,0,1.102966915,
 01/10  05:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/10  06:00:00,41.61660021,0,0,0,5.360832023,21.44332809,1.103077895,0,1.103077895,
 01/10  07:00:00,105.3782174,2.902461137,0,60.85915607,5.360832023,21.44332809,0.02,0,0.02,
 01/10  08:00:00,94.89232342,2.902461137,0,43.21713648,16.08249607,32.68178963,3.239847226,2.136328045,1.103519182,
 01/10  09:00:00,133.544218,2.941153951,0,11.94382331,48.24748821,70.40331239,1.104112107,0,1.104112107,
 01/10  10:00:00,119.5773757,2.902461137,0.441740819,5.922504442,48.24748821,62.05474096,2.188332783,0,2.188332783,
 01/10  11:00:00,119.2908505,2.902461137,3.888313503,4.116000041,48.24748821,60.12814755,2.188393362,0,2.188393362,
 01/10  12:00:00,122.4787777,2.976287513,6.270004221,2.921816735,48.24748821,62.05474096,2.189278015,0,2.189278015,
 01/10  13:00:00,122.8052538,3.075134608,6.847079169,3.11671924,48.24748821,61.51039245,2.189721398,0,2.189721398,
 01/10  14:00:00,123.3563007,3.191100922,7.713746952,0.535289008,48.24748821,63.66023546,2.189517024,0,2.189517024,
 01/10  15:00:00,119.5988638,3.144764085,7.955639423,0.114384433,48.24748821,60.12814755,2.188438546,0,2.188438546,
 01/10  16:00:00,118.427903,3.014336674,6.920062966,0.109427491,48.24748821,60.12814755,1.525872496,0,1.525872496,
 01/10  17:00:00,122.1825184,3.018229683,4.87746859,0.54552084,48.24748821,63.01803766,1.766477161,0,1.766477161,
 01/10  18:00:00,122.6582052,3.092335363,1.469993881,2.962823691,37.52582416,62.79478806,2.187822315,0,2.187822315,
 01/10  19:00:00,88.41333269,2.902461137,0,7.876092389,26.80416012,36.01817895,1.103504423,0,1.103504423,
 01/10  20:00:00,88.06706321,2.902461137,0,10.09861412,26.80416012,33.44938775,0.02,0,0.02,
 01/10  21:00:00,78.01778506,2.902461137,0,16.13183203,16.08249607,28.08855572,1.103409581,0,1.103409581,
 01/10  22:00:00,79.81216979,2.902461137,0,19.21061237,16.08249607,26.80416012,1.103108244,0,1.103108244,
